0.5259269691416835 0448
0.5259269691416835 0390 0425
0.5259269691416835 0038 0066
0.5259269691416835 0317 0563
0.5259269691416835 0038 0390
0.5259269691416835 0129 0390
0.5259269691416835 0038 0066 0400
0.5259269691416835 0389 0390
0.5259269691416835 0390 0473
0.5259269691416835 0390 0448
0.5259269691416835 0066 0317
0.5259269691416835 0180 0390
0.5259269691416835 0092 0390
0.5259269691416835 0390 2050
0.5259269691416835 0317 0497
0.5259269691416835 0038 0448
0.5259269691416835 0317 0548
0.5259269691416835 0390 0880
0.5259269691416835 0038 0473
0.5259269691416835 0174 0390
0.5259269691416835 0204 0390
0.5259269691416835 0545
0.5259269691416835 0317 0545
0.5259269691416835 0066 0390
0.5259269691416835 0425 0448
0.5259269691416835 0317 0447
0.5259269691416835 0078 0390
0.5259269691416835 0038 0078
0.5259269691416835 0108 0390
0.5259269691416835 0038 0797
0.5259269691416835 0448 0473
0.5259269691416835 0038 0253
0.5259269691416835 0038 0441
0.5259269691416835 0038 1048
0.5259269691416835 0475
0.5259269691416835 0038 0096
0.5259269691416835 0353 0390
0.5259269691416835 0390 0745
0.5259269691416835 0038 0108
0.5259269691416835 0038 0487
0.5259269691416835 0390 0807
0.5259269691416835 0038 0389
0.5259269691416835 0390 0475
0.5259269691416835 0317 0400
0.5259269691416835 0280 0390
0.5259269691416835 0389 0548
0.5259269691416835 0317 1815
0.5259269691416835 0317 2068
0.5259269691416835 0317 0892
0.5259269691416835 0038 0415
0.5259269691416835 0317 0576
0.5259269691416835 0317 0390 0448
0.5259269691416835 0167 0390
0.5259269691416835 0317 0441
0.5259269691416835 0038 0338
0.5259269691416835 0038 0745
0.5259269691416835 0339 0390
0.5259269691416835 0390 0797
0.5259269691416835 0317 1889
0.5259269691416835 0038 0554
0.5259269691416835 0317 0495
0.5259269691416835 0390 0416
0.5259269691416835 0317 0797
0.5259269691416835 0390 0874
0.5259269691416835 0390 0786
0.5259269691416835 0390 0460
0.5259269691416835 0317 0487
0.5259269691416835 0367 0390
0.5259269691416835 0390 2260
0.5259269691416835 0038 0288
0.5259269691416835 0282 0390
0.5259269691416835 0038 0206
0.5259269691416835 0853
0.5259269691416835 0034 0317
0.5259269691416835 0038 1992
0.5259269691416835 0066 0548
0.5259269691416835 0390 1837
0.5259269691416835 0108 0389
0.5259269691416835 0873 0874
0.5259269691416835 0390 0762
0.5259269691416835 0195 0317
0.5259269691416835 0317 0814
0.5259269691416835 0390 0453
0.5259269691416835 0038 1821
0.5259269691416835 0204 0317
0.5259269691416835 0317 0745
0.5259269691416835 0038 0294
0.5259269691416835 0038 0083
0.5259269691416835 0390 0563
0.5259269691416835 0317 0440
0.5259269691416835 0038 0442
0.5259269691416835 0317 1263
0.5259269691416835 0338 0390
0.5259269691416835 0038 0280
0.5259269691416835 0082 0390
0.5259269691416835 0038 1744
0.5259269691416835 0390 0442
0.5259269691416835 0390 0425 0448
0.5259269691416835 3575
0.5259269691416835 0038 0547
0.5259269691416835 0389 0447
0.5259269691416835 0038 1889
0.5259269691416835 0038 0158
0.5259269691416835 0037 0390
0.5259269691416835 0548 2037
0.5259269691416835 0038 0258
0.5259269691416835 0390 1834
0.5259269691416835 0121 0390
0.5259269691416835 0038 2260
0.5259269691416835 0390 2068
0.5259269691416835 0448 0548
0.5259269691416835 0317 0425 0448
0.5259269691416835 0551
0.5259269691416835 3469
0.5259269691416835 0390 0509
0.5259269691416835 0390 0495
0.5259269691416835 0317 1119
0.5259269691416835 0390 1073
0.5259269691416835 0389 0425
0.5259269691416835 0012 0390
0.5259269691416835 0317 1836
0.5259269691416835 0390 3469
0.5259269691416835 0390 1815
0.5259269691416835 0038 0731
0.5259269691416835 0038 0276
0.5259269691416835 0038 0066 0548
0.5259269691416835 0390 0776
0.5259269691416835 0038 0164
0.5259269691416835 0092 0317
0.5259269691416835 0038 0946
0.5259269691416835 0276 0317
0.5259269691416835 0251 0317
0.5259269691416835 0136 0390
